,right folder,right file,right class,right method,right lines,correct,sound solution
0,4.0,4.0,4.0,,,,
1,7.0,7.0,7.0,7.0,7.0,7.0,7.0
2,,,,,,,
3,,,,,,,9.0
4,,,,,,,
5,,,,,,,4.0
7,,,,,,,
8,,,,,,,2.0
9,5.0,5.0,5.0,5.0,5.0,5.0,5.0
10,,,,,,,2.0
11,,,,,,,
12,,,,,,,1.0
13,,,,,,,2.0
14,,,,,,,
15,,,,,,,4.0
16,,,,,,,
17,6.0,,,,,,
18,,,,,,,
19,,,,,,,
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,11.0,11.0,11.0,11.0,11.0,11.0,11.0
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,15.0,15.0,15.0,15.0,15.0,15.0,15.0
26,2.0,2.0,2.0,2.0,2.0,2.0,2.0
