,Group,Task,Time_first,Time,Success,folder,file,class,method,line,solution,implement,right folder,right file,right class,right method,right lines,correct,sound solution
0,2,1,19,43,0,18.0,18.0,19.0,21.0,21.0,24.0,43.0,1,1,1,0,0,0,0
1,1,1,50,50,1,44.0,45.0,45.0,46.0,47.0,48.0,50.0,1,1,1,1,1,1,1
2,2,1,0,58,0,56.0,56.0,58.0,60.0,60.0,60.0,60.0,0,0,0,0,0,0,0
3,1,1,0,46,0,23.0,23.0,23.0,27.0,27.0,46.0,46.0,0,0,0,0,0,0,1
4,2,1,0,56,0,38.0,38.0,38.0,41.0,41.0,50.0,56.0,0,0,0,0,0,0,0
5,1,1,0,38,0,31.0,31.0,31.0,32.0,33.0,37.0,38.0,0,0,0,0,0,0,1
6,2,1,0,19,0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0,0,0,0,0,0,0
7,1,1,0,46,0,35.0,35.0,35.0,37.0,37.0,37.0,46.0,0,0,0,0,0,0,1
8,1,1,43,43,1,43.0,43.0,43.0,43.0,43.0,43.0,43.0,1,1,1,1,1,1,1
9,2,1,0,57,0,25.0,25.0,37.0,46.0,57.0,57.0,60.0,0,0,0,0,0,0,1
10,2,1,0,31,0,31.0,31.0,31.0,31.0,60.0,60.0,60.0,0,0,0,0,0,0,0
11,1,1,0,48,0,44.0,47.0,47.0,60.0,60.0,48.0,60.0,0,0,0,0,0,0,1
12,1,1,0,59,0,45.0,45.0,45.0,50.0,52.0,59.0,60.0,0,0,0,0,0,0,1
13,2,1,0,56,0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,0,0,0,0,0,0,0
14,2,1,0,60,0,59.0,60.0,60.0,60.0,60.0,60.0,60.0,0,0,0,0,0,0,1
15,1,1,0,48,0,38.0,44.0,44.0,47.0,60.0,48.0,60.0,0,0,0,0,0,0,0
16,1,1,48,50,0,48.0,48.0,49.0,60.0,60.0,50.0,60.0,1,0,0,0,0,0,0
17,2,1,0,51,0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0,0,0,0,0,0,0
18,2,1,0,28,0,16.0,15.0,19.0,20.0,20.0,28.0,60.0,0,0,0,0,0,0,0
19,1,1,32,32,1,18.0,18.0,18.0,18.0,18.0,23.0,32.0,1,1,1,1,1,1,1
20,2,1,27,27,1,23.0,24.0,24.0,24.0,24.0,25.0,27.0,1,1,1,1,1,1,1
21,1,1,0,60,0,31.0,60.0,60.0,60.0,60.0,60.0,60.0,0,0,0,0,0,0,1
22,2,1,60,60,1,11.0,11.0,11.0,12.0,12.0,59.0,60.0,1,1,1,1,1,1,1
23,2,1,60,43,1,21.0,21.0,22.0,22.0,22.0,23.0,43.0,1,1,1,1,1,1,1
24,1,1,43,26,1,15.0,15.0,15.0,15.0,15.0,16.0,26.0,1,1,1,1,1,1,1
25,1,1,30,30,1,23.0,24.0,24.0,27.0,27.0,27.0,30.0,1,1,1,1,1,1,1
