Group,Task,Time_first,Time,Success,folder,file,class,method,line,solution,implement,right folder,right file,right class,right method,right lines,correct,sound solution
2,1,19,43,0,18,18,19,,,,,1,1,1,0,0,0,0
1,1,50,50,1,44,45,45,46,47,48,50,1,1,1,1,1,1,1
2,1,0,58,0,,,,,,,,0,0,0,0,0,0,0
1,1,0,46,0,23,23,23,27,27,46,,0,0,0,0,0,0,1
2,1,0,56,0,,,,,,,,0,0,0,0,0,0,0
1,1,0,38,0,31,31,31,32,33,37,,0,0,0,0,0,0,1
2,1,0,19,0,,,,,,,,0,0,0,0,0,0,0
1,1,0,46,0,35,35,35,37,37,37,,0,0,0,0,0,0,1
1,1,43,43,1,43,43,43,43,43,43,,1,1,1,1,1,1,1
2,1,0,57,0,25,25,37,46,57,57,,0,0,0,0,0,0,1
2,1,0,31,0,,,,,,,,0,0,0,0,0,0,0
1,1,0,48,0,44,47,47,,,48,,0,0,0,0,0,0,1
1,1,0,59,0,45,45,45,50,52,59,,0,0,0,0,0,0,1
2,1,0,56,0,,,,,,,,0,0,0,0,0,0,0
2,1,0,60,0,59,60,60,60,60,60,,0,0,0,0,0,0,1
1,1,0,48,0,,,,,,,,0,0,0,0,0,0,0
1,1,48,50,0,,,,,,,,1,0,0,0,0,0,0
2,1,0,51,0,,,,,,,,0,0,0,0,0,0,0
2,1,0,28,0,,,,,,,,0,0,0,0,0,0,0
1,1,32,32,1,18,18,18,18,18,23,32,1,1,1,1,1,1,1
2,1,27,27,1,23,24,24,24,24,25,27,1,1,1,1,1,1,1
1,1,0,60,0,31,60,60,60,60,60,60,0,0,0,0,0,0,1
2,1,60,60,1,11,11,11,12,12,59,60,1,1,1,1,1,1,1
2,1,60,43,1,21,21,22,22,22,23,43,1,1,1,1,1,1,1
1,1,43,26,1,15,15,15,15,15,16,26,1,1,1,1,1,1,1
1,1,30,30,1,23,24,24,27,27,27,30,1,1,1,1,1,1,1
