StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q14,Q15,Years of experience,Java experience,OSS contributions,Q1,Q3,Q2,Q4,Q5
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Did you have any role in the selected project(s)?,"If you answered ""Other"" in the previous question, please describe your roles or if you don't have any relationship with the projects write ""NA"".",How many years of programming experience do you have?,How many years of Java experience do you have?,How many contributions to Open Source have you made so far?,Do the labels make you feel more confident to contribute to this project?,Do the labels make you feel more confident to contribute to a task?,Do the labels clearly explain the skills you need to contribute to a task?,Are the labels relevant as a source of information about a task you want to contribute to,Do you have any suggestions?
"{""ImportId"":""startDate"",""timeZone"":""America/Phoenix""}","{""ImportId"":""endDate"",""timeZone"":""America/Phoenix""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Phoenix""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID17""}","{""ImportId"":""QID12""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5_TEXT""}"
11/9/24 1:47,11/9/24 1:50,IP Address,81.193.11.5,100,176,TRUE,11/9/24 1:50,R_82QCQIkx7yOCEm1,,,,,38.6821,-9.162,anonymous,EN,I don't have any role in the projects,,9,2,0,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,The results UI should be more clear about what the tags are and what the person should expect when going into the issue
11/10/24 4:47,11/10/24 4:57,IP Address,96.231.250.157,100,601,TRUE,11/10/24 4:57,R_3RlkQgCt3AaxkSg,,,,,38.9757,-77.6414,anonymous,EN,I don't have any role in the projects,NA,10+,10+,0,Somewhat agree,Strongly Agree,Somewhat agree,Neither agree nor disagree,Different algorithms returned completely different responses. 
11/10/24 5:48,11/10/24 7:02,IP Address,201.22.180.93,100,4444,TRUE,11/10/24 7:02,R_6dQzudKlSax0TfI,,,,,-22.8896,-43.1054,anonymous,EN,I don't have any role in the projects,,10+,1,7-Apr,Somewhat agree,Strongly Agree,Neither agree nor disagree,Somewhat agree,
11/10/24 9:45,11/10/24 9:46,IP Address,31.22.164.222,100,56,TRUE,11/10/24 9:46,R_8D6slFeueJuc1Hf,,,,,38.6661,-9.0759,anonymous,EN,I don't have any role in the projects,,9,2,0,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,add a brief explanation of the models
11/11/24 9:10,11/11/24 9:12,IP Address,24.156.42.144,100,116,TRUE,11/11/24 9:12,R_6OqLteX2aGJWZcs,,,,,35.1559,-111.6825,anonymous,EN,I don't have any role in the projects,NA,5,3,3-Feb,Strongly Agree,Strongly Agree,Somewhat agree,Somewhat agree,
11/11/24 10:47,11/11/24 10:58,IP Address,104.222.28.121,100,666,TRUE,11/11/24 10:58,R_7ONdxeyq6uvjl2K,,,,,33.4306,-111.9256,anonymous,EN,Maintainer,,5,1,1,Somewhat agree,Strongly Agree,Somewhat agree,Strongly Agree,"There are significant differences in the labels quality between the algorithms. Random forest in my scenario had the worst labels, they are general and doesn't provide a good information to detect where my skills could help to solve the issues. On another side, I liked the GPT labeling. "
11/13/24 21:23,11/13/24 21:37,IP Address,137.152.185.128,100,857,TRUE,11/13/24 21:37,R_6gZ9zhiSeuUpxVz,,,,,33.5141,-112.1235,anonymous,EN,Other,I was originally on the team but left after time constraints so I loosely know the idea of the project.,4,2,0,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,"An explanation of which algorithm I should use. Also I just feel like most of the skills that were matched were the same issue. I wouldn't say they were wrong but I also wouldn't say it helped me want to contribute to a project more. I did like the front end look! I think it is a great idea but to send me into the right direction of wanting to contribute I would need documentation of where to look to contribute. Also a simple fix I was putting in the url https://github.com/mudler/LocalAI/issues and it wouldn't accept that it would only accept https://github.com/mudler/LocalAI. So maybe just a simple cut down to the root folder. Thank you guys, great idea I hope this helps!"
11/14/24 12:16,11/14/24 12:19,IP Address,146.75.175.11,100,212,TRUE,11/14/24 12:19,R_3pOh3DpfibfCmAx,,,,,33.4475,-112.0866,anonymous,EN,I don't have any role in the projects,,3,1,0,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,I would say provide more detail about each role and skills that are need. The general scope is a good so far.
